photon energy (eV),n,k
5.14,1.578294,3.389486
5.16,1.581562,3.375559
5.18,1.586143,3.363061
5.2,1.588696,3.353634
5.22,1.591887,3.34714
5.24,1.591396,3.343689
5.26,1.589871,3.34426
5.28,1.585492,3.346315
5.3,1.578551,3.352859
5.32,1.565548,3.358512
5.34,1.548208,3.363754
5.36,1.526105,3.367457
5.38,1.501384,3.368557
5.4,1.471762,3.366389
5.42,1.444687,3.359332
5.44,1.416263,3.349572
5.46,1.389256,3.334418
5.48,1.362049,3.318617
5.5,1.339974,3.301584
5.52,1.318614,3.285186
5.54,1.298399,3.267033
5.56,1.280673,3.245335
5.58,1.265249,3.227926
5.6,1.247473,3.206743
5.62,1.234714,3.190065
5.64,1.221844,3.169155
5.66,1.210693,3.150076
5.68,1.195086,3.134988
5.7,1.185885,3.119615
5.72,1.175117,3.102705
5.74,1.164583,3.086312
5.76,1.154788,3.072634
5.78,1.139105,3.06055
5.8,1.132544,3.044783
5.82,1.118802,3.025085
5.84,1.10974,3.01565
5.86,1.101407,3.00348
5.88,1.090318,2.98963
5.9,1.08037,2.97983
5.92,1.068704,2.960867
5.94,1.065495,2.939028
5.96,1.046977,2.942144
5.98,1.035222,2.928328
6,1.010136,2.909201
6.02,0.996564,2.900349
6.04,0.992848,2.89873
6.06,0.995253,2.901381
6.08,1.000048,2.905337
6.1,1.003498,2.907632
6.12,0.995349,2.899775
6.14,0.986361,2.891085
6.16,0.977483,2.882765
6.18,0.968997,2.875055
6.2,0.960517,2.867233
6.22,0.951942,2.858853
6.24,0.943327,2.850111
6.26,0.934694,2.841064
6.28,0.926031,2.83164
6.3,0.917295,2.821631
6.32,0.908392,2.810636
6.34,0.899436,2.799073
6.36,0.890479,2.787121
6.38,0.881561,2.774912
6.4,0.872712,2.762529
6.42,0.863986,2.750163
6.44,0.855373,2.737737
6.46,0.846873,2.725242
6.48,0.838507,2.712707
6.5,0.830316,2.700197
6.52,0.822381,2.687809
6.54,0.814625,2.675486
6.56,0.807015,2.663214
6.58,0.799531,2.650991
6.6,0.792171,2.638823
6.62,0.784927,2.626699
6.64,0.777781,2.61465
6.66,0.770721,2.602691
6.68,0.763729,2.590841
6.7,0.756779,2.579117
6.72,0.749825,2.567552
6.74,0.7429,2.556131
6.76,0.736023,2.544848
6.78,0.729193,2.533709
6.8,0.722385,2.522736
6.82,0.715539,2.511976
6.84,0.708745,2.501372
6.86,0.702052,2.490896
6.88,0.695495,2.480528
6.9,0.689094,2.470256
6.92,0.682873,2.460056
6.94,0.676866,2.449926
6.96,0.671088,2.439864
6.98,0.665588,2.429856
7,0.660451,2.419872
7.02,0.655869,2.409855
7.04,0.651638,2.399864
7.06,0.647666,2.389923
7.08,0.64389,2.38005
7.1,0.640275,2.370253
7.12,0.636749,2.360552
7.14,0.633314,2.350944
7.16,0.629956,2.341432
7.18,0.626648,2.332021
7.2,0.623357,2.322721
7.22,0.620043,2.313541
7.24,0.616695,2.304482
7.26,0.613293,2.295549
7.28,0.609816,2.286747
7.3,0.60624,2.27808
7.32,0.602543,2.269554
7.34,0.598702,2.261174
7.36,0.594693,2.252944
7.38,0.590493,2.244872
7.4,0.58608,2.23696
7.42,0.58143,2.229215
7.44,0.57652,2.221641
7.46,0.571327,2.214244
7.48,0.565828,2.207029
7.5,0.56,2.2
7.52,0.55382,2.193164
7.54,0.547265,2.186524
7.56,0.540312,2.180087
7.58,0.532938,2.173857
7.6,0.52512,2.16784
