photon energy (eV),n,k
2.37,1.91297,2.19716
2.38,1.89994,2.19709
2.39,1.89501,2.1718
2.4,1.89527,2.14717
2.41,1.89435,2.14744
2.42,1.88645,2.14714
2.43,1.87955,2.14731
2.44,1.8754,2.14721
2.45,1.87593,2.14747
2.46,1.87546,2.12295
2.47,1.87615,2.09751
2.48,1.86224,2.09775
2.49,1.85573,2.09732
2.5,1.85623,2.09703
2.51,1.85683,2.09858
2.52,1.85166,2.08511
2.53,1.84505,2.06823
2.54,1.83739,2.04872
2.55,1.83686,2.04804
2.56,1.83707,2.0473
2.57,1.83106,2.0471
2.58,1.82727,2.04958
2.59,1.82262,2.0236
2.6,1.81699,1.9961
2.61,1.81783,1.99859
2.62,1.81087,1.99789
2.63,1.80744,1.99777
2.64,1.80771,1.99811
2.65,1.80817,1.99445
2.66,1.80313,1.96186
2.67,1.79775,1.94759
2.68,1.79822,1.94827
2.69,1.79789,1.94763
2.7,1.79839,1.94908
2.71,1.79266,1.93503
2.72,1.78625,1.91839
2.73,1.77879,1.89903
2.74,1.77879,1.8987
2.75,1.77855,1.898
2.76,1.77863,1.89788
2.77,1.77869,1.89944
2.78,1.77866,1.88581
2.79,1.77862,1.86903
2.8,1.77865,1.84952
2.81,1.77871,1.84875
2.82,1.77864,1.84822
2.83,1.77846,1.84851
2.84,1.77903,1.84869
2.85,1.77334,1.84859
2.86,1.76689,1.84632
2.87,1.75942,1.8152
2.88,1.75936,1.79808
2.89,1.75912,1.79892
2.9,1.75922,1.79874
2.91,1.75927,1.79865
2.92,1.75923,1.79869
2.93,1.75921,1.79903
2.94,1.75924,1.79871
2.95,1.75924,1.79716
2.96,1.75922,1.7772
2.97,1.75922,1.76001
2.98,1.75924,1.74791
2.99,1.75923,1.74931
3,1.75922,1.74896
3.01,1.75923,1.74887
3.02,1.75924,1.74919
3.03,1.75922,1.74864
3.04,1.75922,1.74863
3.05,1.75924,1.72971
3.06,1.75924,1.71341
3.07,1.75921,1.6983
3.08,1.75923,1.69964
3.09,1.75928,1.69909
3.1,1.75922,1.69909
3.11,1.75905,1.69923
3.12,1.75962,1.69903
3.13,1.75413,1.69907
3.14,1.74764,1.70004
3.15,1.74008,1.69214
3.16,1.73992,1.67332
3.17,1.7397,1.65348
3.18,1.7398,1.64886
3.19,1.73985,1.64923
3.2,1.73981,1.64951
3.21,1.73979,1.64934
3.22,1.73982,1.64938
3.23,1.73982,1.64947
3.24,1.7398,1.64915
3.25,1.73981,1.64911
3.26,1.73982,1.65095
3.27,1.73981,1.63298
3.28,1.7398,1.59828
3.29,1.73981,1.60039
3.3,1.73981,1.59941
3.31,1.73981,1.5994
3.32,1.73981,1.59966
3.33,1.73981,1.59967
3.34,1.73981,1.5995
3.35,1.73981,1.59948
3.36,1.73981,1.59975
3.37,1.73981,1.59979
3.38,1.73981,1.59877
3.39,1.73981,1.60074
3.4,1.73981,1.56513
3.41,1.73981,1.54826
3.42,1.73981,1.54997
3.43,1.73981,1.55007
3.44,1.73981,1.54971
3.45,1.73981,1.54969
3.46,1.73981,1.54986
3.47,1.73981,1.54985
3.48,1.73981,1.5497
3.49,1.73981,1.54972
3.5,1.73981,1.54997
3.51,1.73981,1.54992
3.52,1.73981,1.54899
3.53,1.73981,1.55124
3.54,1.73981,1.51786
3.55,1.73981,1.49834
3.56,1.73981,1.50033
3.57,1.73981,1.50022
3.58,1.73981,1.49988
3.59,1.73981,1.49996
3.6,1.73981,1.50005
3.61,1.73981,1.49999
3.62,1.73981,1.5
3.63,1.73981,1.50003
3.64,1.73981,1.49993
3.65,1.73981,1.49998
3.66,1.73981,1.50028
3.67,1.73983,1.49979
3.68,1.73978,1.49912
3.69,1.73978,1.47958
3.7,1.7407,1.46291
3.71,1.75295,1.44919
3.72,1.75948,1.45065
3.73,1.75916,1.45024
3.74,1.75924,1.45009
3.75,1.75924,1.45022
3.76,1.75923,1.45026
3.77,1.75923,1.45019
3.78,1.75923,1.45019
3.79,1.75923,1.45023
3.8,1.75923,1.45022
3.81,1.75923,1.4502
3.82,1.75923,1.45021
3.83,1.75923,1.45022
3.84,1.75924,1.45021
3.85,1.75923,1.45021
3.86,1.75922,1.45021
3.87,1.75924,1.45021
3.88,1.75924,1.45021
3.89,1.75921,1.45021
3.9,1.75922,1.45021
3.91,1.75928,1.45021
3.92,1.75923,1.45021
3.93,1.75907,1.45021
3.94,1.75939,1.45021
3.95,1.75959,1.45021
3.96,1.7757,1.45021
3.97,1.77894,1.45021
3.98,1.77875,1.45021
3.99,1.77856,1.45021
4,1.77863,1.45021
4.01,1.77868,1.45021
4.02,1.77865,1.45021
4.03,1.77863,1.45021
4.04,1.77865,1.45021
4.05,1.77866,1.45021
4.06,1.77864,1.45021
4.07,1.77864,1.45021
4.08,1.77866,1.45021
4.09,1.77865,1.45021
4.1,1.77864,1.45021
4.11,1.77864,1.45021
4.12,1.77869,1.45021
4.13,1.77863,1.45021
4.14,1.7784,1.45021
4.15,1.76744,1.45021
4.16,1.75903,1.45021
4.17,1.75929,1.45021
4.18,1.75921,1.45021
4.19,1.75923,1.45021
4.2,1.75923,1.45021
4.21,1.75923,1.45021
4.22,1.75923,1.45021
4.23,1.75923,1.45021
4.24,1.75923,1.45021
4.25,1.75923,1.45021
4.26,1.75923,1.45021
4.27,1.75923,1.45021
4.28,1.75923,1.45021
4.29,1.75923,1.45021
4.3,1.75923,1.45021
4.31,1.75922,1.45021
4.32,1.75922,1.45021
4.33,1.75927,1.45021
4.34,1.7592,1.45021
4.35,1.75904,1.45021
4.36,1.74827,1.45021
4.37,1.73963,1.45021
4.38,1.73987,1.45021
4.39,1.73979,1.45021
4.4,1.73982,1.45021
4.41,1.73981,1.45021
4.42,1.73979,1.45021
4.43,1.73983,1.45021
4.44,1.73984,1.45021
4.45,1.73974,1.45021
4.46,1.73976,1.45021
4.47,1.7402,1.45021
4.48,1.73665,1.45021
4.49,1.72947,1.45021
4.5,1.72167,1.45021
4.51,1.72026,1.45021
4.52,1.72028,1.45021
4.53,1.72044,1.45021
