photon energy (eV),n,k
2.37,2.19198,2.4699
2.38,2.18712,2.46964
2.39,2.18245,2.46893
2.4,2.17802,2.46904
2.41,2.17345,2.42233
2.42,2.17008,2.37539
2.43,2.16061,2.36796
2.44,2.16135,2.36729
2.45,2.15657,2.36731
2.46,2.15199,2.36742
2.47,2.14886,2.36752
2.48,2.14561,2.36756
2.49,2.14105,2.3675
2.5,2.13633,2.36736
2.51,2.13709,2.36713
2.52,2.12749,2.36684
2.53,2.12415,2.36882
2.54,2.1248,2.32523
2.55,2.11794,2.27987
2.56,2.11177,2.26444
2.57,2.11192,2.26447
2.58,2.10672,2.26473
2.59,2.10176,2.2649
2.6,2.09986,2.26502
2.61,2.09931,2.26509
2.62,2.09078,2.26513
2.63,2.08769,2.26511
2.64,2.08768,2.26506
2.65,2.0882,2.26496
2.66,2.07917,2.26482
2.67,2.07534,2.26462
2.68,2.07564,2.26435
2.69,2.07578,2.26633
2.7,2.07323,2.22275
2.71,2.06316,2.17733
2.72,2.06358,2.16195
2.73,2.06343,2.16199
2.74,2.06337,2.16227
2.75,2.0629,2.16246
2.76,2.05447,2.16256
2.77,2.05106,2.16257
2.78,2.05119,2.16252
2.79,2.05122,2.16245
2.8,2.05129,2.16241
2.81,2.05117,2.16252
2.82,2.04994,2.16318
2.83,2.03913,2.1656
2.84,2.03916,2.10698
2.85,2.03894,2.05756
2.86,2.03894,2.0592
2.87,2.03897,2.05989
2.88,2.03899,2.06008
2.89,2.03899,2.06011
2.9,2.03898,2.06009
2.91,2.03897,2.06005
2.92,2.03898,2.06002
2.93,2.03899,2.06002
2.94,2.03898,2.06004
2.95,2.03898,2.06005
2.96,2.03898,2.06004
2.97,2.03898,2.06002
2.98,2.03898,2.05999
2.99,2.03898,2.05997
3,2.03898,2.06
3.01,2.03898,2.06007
3.02,2.03898,2.06018
3.03,2.03898,2.0603
3.04,2.03898,2.06041
3.05,2.03898,2.06
3.06,2.03898,2.04918
3.07,2.03898,2.00292
3.08,2.03898,1.95728
3.09,2.03898,1.95849
3.1,2.03898,1.95795
3.11,2.03898,1.95767
3.12,2.03899,1.95753
3.13,2.03898,1.95746
3.14,2.03897,1.95746
3.15,2.03897,1.95749
3.16,2.039,1.95754
3.17,2.03901,1.95757
3.18,2.03897,1.95758
3.19,2.03885,1.95757
3.2,2.03905,1.95754
3.21,2.0342,1.95752
3.22,2.02957,1.95751
3.23,2.0265,1.95752
3.24,2.02677,1.95753
3.25,2.02682,1.95756
3.26,2.0268,1.95757
3.27,2.02676,1.95757
3.28,2.02671,1.95755
3.29,2.0267,1.95752
3.3,2.02704,1.95751
3.31,2.0232,1.95751
3.32,2.01868,1.95753
3.33,2.01435,1.95756
3.34,2.01467,1.95758
3.35,2.0146,1.95758
3.36,2.01455,1.95755
3.37,2.01454,1.95751
3.38,2.01456,1.95748
3.39,2.01457,1.95748
3.4,2.01457,1.95751
3.41,2.01455,1.95758
3.42,2.01455,1.95766
3.43,2.01456,1.95773
3.44,2.01457,1.95774
3.45,2.01456,1.95756
3.46,2.01456,1.95618
3.47,2.01456,1.94917
3.48,2.01456,1.85389
3.49,2.01456,1.85647
3.5,2.01456,1.8556
3.51,2.01456,1.8552
3.52,2.01456,1.85503
3.53,2.01456,1.85496
3.54,2.01456,1.85495
3.55,2.01456,1.85499
3.56,2.01456,1.85505
3.57,2.01456,1.85509
3.58,2.01457,1.8551
3.59,2.01456,1.85509
3.6,2.01455,1.85505
3.61,2.01455,1.85503
3.62,2.01457,1.85501
3.63,2.01458,1.85502
3.64,2.01456,1.85504
3.65,2.01449,1.85507
3.66,2.01446,1.85508
3.67,2.01586,1.85508
3.68,2.02094,1.85506
3.69,2.02618,1.85503
3.7,2.02673,1.85501
3.71,2.02683,1.85501
3.72,2.02679,1.85504
3.73,2.02676,1.85507
3.74,2.02676,1.8551
3.75,2.02677,1.8551
3.76,2.02677,1.85507
3.77,2.02677,1.85501
3.78,2.02677,1.85494
3.79,2.02678,1.85489
3.8,2.02678,1.85491
3.81,2.02673,1.85506
3.82,2.02669,1.85595
3.83,2.02701,1.86009
3.84,2.02298,1.90741
3.85,2.01848,1.95469
3.86,2.01434,1.95645
3.87,2.01466,1.95734
3.88,2.01455,1.95759
3.89,2.01445,1.95766
3.9,2.01496,1.95766
3.91,2.0069,1.9576
3.92,2.00203,1.95754
3.93,2.00256,1.9575
3.94,1.99995,1.95749
3.95,1.99519,1.9575
3.96,1.99011,1.95753
3.97,1.9905,1.95756
3.98,1.98656,1.95758
3.99,1.98209,1.95757
4,1.97783,1.95755
4.01,1.97806,1.95752
4.02,1.97645,1.95751
4.03,1.9657,1.95751
4.04,1.96614,1.95753
4.05,1.96225,1.95756
