photon energy (eV),n,k
1.5,3.847539,0.002175
1.525,3.847539,0.002175
1.55,3.847434,0.002098
1.575,3.847315,0.002011
1.6,3.847228,0.001936
1.625,3.84716,0.001838
1.65,3.847008,0.001704
1.675,3.84688,0.00164
1.7,3.846687,0.001565
1.725,3.846444,0.001526
1.75,3.854122,0.005316
1.775,3.869069,0.005605
1.8,3.879401,0.006057
1.825,3.893204,0.00556
1.85,3.905941,0.006107
1.875,3.920136,0.007187
1.9,3.935179,0.007825
1.925,3.948163,0.00702
1.95,3.963915,0.007442
1.975,3.978987,0.006949
2,3.994332,0.008126
2.025,4.012002,0.009818
2.05,4.027867,0.010609
2.075,4.046016,0.012723
2.1,4.064221,0.01221
2.125,4.082405,0.014136
2.15,4.102665,0.013459
2.175,4.121167,0.018187
2.2,4.142361,0.017638
2.225,4.164007,0.020386
2.25,4.185553,0.021292
2.275,4.208368,0.02478
2.3,4.232581,0.026342
2.325,4.258268,0.029702
2.35,4.283852,0.031341
2.375,4.312109,0.035288
2.4,4.3419,0.036354
2.425,4.369722,0.043143
2.45,4.4003,0.05013
2.475,4.434024,0.050755
2.5,4.468206,0.056301
2.525,4.500721,0.063095
2.55,4.532903,0.07132
2.575,4.576828,0.073609
2.6,4.614769,0.086303
2.625,4.655567,0.090329
2.65,4.699131,0.103799
2.675,4.744894,0.107813
2.7,4.792472,0.116926
2.725,4.843312,0.128673
2.75,4.894386,0.139374
2.775,4.950233,0.146134
2.8,5.002327,0.176916
2.825,5.059797,0.193104
2.85,5.129997,0.207335
2.875,5.195986,0.237717
2.9,5.266975,0.256261
2.925,5.341962,0.284894
2.95,5.429608,0.315029
2.975,5.513304,0.353593
3,5.600525,0.398554
3.025,5.700166,0.44699
3.05,5.801185,0.515926
3.075,5.915649,0.600036
3.1,6.028368,0.703485
3.125,6.152632,0.825581
3.15,6.261734,0.965611
3.175,6.356711,1.157489
3.2,6.433263,1.366802
3.225,6.473962,1.606124
3.25,6.467697,1.855427
3.275,6.393348,2.071047
3.3,6.264226,2.290863
3.325,6.13837,2.417112
3.35,6.007628,2.52959
3.375,5.879507,2.603032
3.4,5.761014,2.654712
3.425,5.664604,2.682734
3.45,5.597837,2.715912
3.475,5.5182,2.746541
3.5,5.464967,2.759307
3.525,5.417748,2.806179
3.55,5.384381,2.808212
3.575,5.358431,2.849743
3.6,5.321086,2.877942
3.625,5.300833,2.913383
3.65,5.271912,2.951998
3.675,5.247552,2.990821
3.7,5.234782,3.035487
3.725,5.212692,3.07387
3.75,5.207156,3.124274
3.775,5.186249,3.163226
3.8,5.176744,3.222286
3.825,5.175328,3.278789
3.85,5.148143,3.34631
3.875,5.145677,3.414322
3.9,5.146311,3.477597
3.925,5.137851,3.570153
3.95,5.138381,3.651926
3.975,5.104632,3.765045
4,5.08831,3.878685
4.025,5.070992,3.987686
4.05,5.03471,4.120445
4.075,4.969483,4.268136
4.1,4.882482,4.419561
4.125,4.785051,4.572138
4.15,4.655955,4.704989
4.175,4.480963,4.862751
4.2,4.318598,4.951838
4.225,4.098447,5.032413
4.25,3.875638,5.063557
4.275,3.682216,5.078374
4.3,3.490317,5.056048
4.325,3.303723,5.000782
4.35,3.16316,4.97237
4.375,3.026085,4.915996
4.4,2.883247,4.859383
4.425,2.755362,4.798449
4.45,2.648758,4.701856
4.475,2.549736,4.656619
4.5,2.458296,4.571055
4.525,2.381039,4.495244
4.55,2.309597,4.430303
4.575,2.249944,4.357069
4.6,2.189867,4.2792
4.625,2.161021,4.20002
4.65,2.111419,4.142523
4.675,2.076602,4.074761
4.7,2.034446,4.016103
