photon energy (eV),n,k
0.09,7.26346,11.6025
0.1,7.35612,11.2515
0.11,7.43854,10.891
0.12,7.51082,10.5236
0.13,7.57308,10.1521
0.14,7.62541,9.77913
0.15,7.66795,9.40747
0.16,7.70079,9.03982
0.17,7.72406,8.6789
0.18,7.73785,8.32742
0.19,7.74228,7.9881
0.2,7.73747,7.66364
0.21,7.72352,7.35678
0.22,7.70054,7.07022
0.23,7.66865,6.80668
0.24,7.62796,6.56888
0.25,7.57858,6.35953
0.26,7.52061,6.18135
0.27,7.45418,6.03706
0.28,7.37939,5.92937
0.29,7.29636,5.86099
0.3,7.20519,5.83465
0.31,7.16607,5.58622
0.32,7.12553,5.47938
0.33,7.0428,5.27067
0.34,7.00886,5.15119
0.35,6.97473,5.01688
0.36,6.94509,4.88032
0.37,6.917,4.7582
0.38,6.91079,4.64069
0.39,6.90726,4.53358
0.4,6.92724,4.35162
0.41,6.94631,4.27804
0.42,6.9665,4.19244
0.43,7.01481,4.11703
0.44,7.05386,4.06559
0.45,7.08885,4.04228
0.46,7.1295,4.0203
0.47,7.21216,4.02818
0.48,7.24034,4.04453
0.49,7.27662,4.06983
0.5,7.32929,4.10779
0.51,7.36357,4.14558
0.52,7.39119,4.17858
0.53,7.40651,4.25205
0.54,7.40009,4.30363
0.55,7.38424,4.36136
0.56,7.36366,4.42122
0.57,7.31759,4.46992
0.58,7.27654,4.51926
0.59,7.23498,4.5708
0.6,7.19725,4.65078
0.61,7.1146,4.69718
0.62,7.0768,4.75116
0.63,7.02541,4.79883
0.64,6.96139,4.83628
0.65,6.89027,4.87762
0.66,6.84253,4.93258
0.67,6.79925,4.95501
0.68,6.70395,4.98567
0.69,6.66156,5.01714
0.7,6.60985,5.04057
0.71,6.54014,5.06627
0.72,6.46484,5.08132
0.73,6.41788,5.10012
0.74,6.37774,5.11139
0.75,6.28982,5.12262
0.76,6.24645,5.13411
0.77,6.19421,5.14642
0.78,6.13386,5.14469
0.79,6.0592,5.16588
0.8,6.01262,5.1773
0.81,5.97503,5.17595
0.82,5.89512,5.18272
0.83,5.85046,5.19463
0.84,5.79771,5.20698
0.85,5.74794,5.21974
0.86,5.68178,5.23243
0.87,5.63348,5.25159
0.88,5.5512,5.26232
0.89,5.51339,5.28012
0.9,5.47652,5.30131
0.91,5.39345,5.31277
0.92,5.34209,5.32946
0.93,5.27969,5.34498
0.94,5.22837,5.35671
0.95,5.13784,5.3796
0.96,5.08462,5.39025
0.97,5.03076,5.3916
0.98,4.93791,5.40431
0.99,4.87661,5.41712
1,4.79902,5.41991
1.01,4.73569,5.4202
1.02,4.63451,5.42067
1.03,4.59272,5.40947
1.04,4.54452,5.38819
1.05,4.40056,5.39046
1.06,4.31697,5.36156
1.07,4.24727,5.34278
1.08,4.19187,5.31804
1.09,4.08645,5.29513
1.1,4.03796,5.27229
1.11,3.98758,5.24908
1.12,3.89773,5.22425
1.13,3.83433,5.19131
1.14,3.78131,5.14512
1.15,3.73503,5.10792
1.16,3.65669,5.08259
1.17,3.61824,5.05994
1.18,3.57302,5.03794
1.19,3.51053,4.9994
1.2,3.46867,4.97189
1.21,3.4389,4.93343
1.22,3.40822,4.89623
1.23,3.3538,4.87024
1.24,3.3271,4.84758
1.25,3.29364,4.82526
1.26,3.24543,4.78758
1.27,3.2178,4.76108
1.28,3.18741,4.73604
1.29,3.16264,4.6997
1.3,3.11227,4.66498
1.31,3.09284,4.63486
1.32,3.0726,4.61268
1.33,3.0325,4.57583
1.34,3.00525,4.54883
1.35,2.97525,4.52343
1.36,2.95082,4.49938
1.37,2.90015,4.47629
1.38,2.88055,4.45362
1.39,2.86038,4.43048
1.4,2.82745,4.39437
1.41,2.7934,4.36673
1.42,2.76464,4.34137
1.43,2.72639,4.31724
1.44,2.71242,4.29413
1.45,2.69801,4.27321
1.46,2.65997,4.23137
1.47,2.64184,4.20933
1.48,2.61979,4.18453
1.49,2.59395,4.1597
1.5,2.5713,4.13496
1.51,2.55133,4.11914
1.52,2.53375,4.10702
1.53,2.50184,4.06494
1.54,2.48779,4.04263
1.55,2.4651,4.01783
1.56,2.44002,3.99241
1.57,2.41666,3.97991
1.58,2.39675,3.96122
1.59,2.38229,3.93988
1.6,2.352,3.89871
1.61,2.33306,3.87596
1.62,2.31049,3.85085
1.63,2.29333,3.82599
1.64,2.2716,3.80146
1.65,2.25858,3.7798
1.66,2.24711,3.73715
1.67,2.22217,3.7242
1.68,2.20939,3.70915
1.69,2.19428,3.6842
1.7,2.17775,3.6587
1.71,2.15576,3.64507
1.72,2.14287,3.62894
1.73,2.13135,3.58635
1.74,2.10663,3.5654
1.75,2.09347,3.54181
1.76,2.07829,3.5173
1.77,2.06244,3.49241
1.78,2.03951,3.46777
1.79,2.03264,3.452
1.8,2.02734,3.42022
1.81,2.01025,3.39866
1.82,1.99699,3.37521
1.83,1.98154,3.35049
1.84,1.97273,3.33911
1.85,1.95292,3.3168
1.86,1.94583,3.29577
1.87,1.93999,3.2531
1.88,1.92795,3.23222
1.89,1.92086,3.21036
1.9,1.91359,3.19891
1.91,1.89958,3.1735
1.92,1.88418,3.14925
1.93,1.87845,3.12373
1.94,1.87239,3.10252
1.95,1.86039,3.08599
1.96,1.85373,3.07254
1.97,1.84244,3.04731
1.98,1.83459,3.02137
1.99,1.83577,3.00639
2,1.82525,2.97376
2.01,1.81536,2.95123
2.02,1.81219,2.93397
2.03,1.80522,2.92086
2.04,1.79705,2.89562
2.05,1.79585,2.87004
2.06,1.77965,2.85501
2.07,1.77659,2.83565
2.08,1.77747,2.81509
2.09,1.77004,2.79743
2.1,1.75716,2.78462
2.11,1.75775,2.75878
2.12,1.75729,2.7465
2.13,1.74985,2.72646
2.14,1.74347,2.69807
