photon energy (eV),n,k
1,4.054,0
1.1,4.094,0
1.2,4.11,0
1.3,4.165,0
1.4,4.186,0
1.5,4.2261,0
1.6,4.2779,0
1.7,4.3347,0.0058
1.8,4.3957,0.0432
1.9,4.466,0.159
2,4.5489,0.2869
2.1,4.6287,0.418
2.2,4.7077,0.5502
2.3,4.7833,0.6857
2.4,4.854,0.8313
2.5,4.9135,0.9911
2.6,4.9623,1.1638
2.7,4.9988,1.3483
2.8,5.0184,1.5473
2.9,5.0185,1.7565
3,4.9976,1.9739
3.1,4.9482,2.1988
3.2,4.8728,2.4237
3.3,4.7664,2.6435
3.4,4.63,2.8542
3.5,4.4697,3.0461
3.6,4.2836,3.217
3.7,4.0818,3.3588
3.8,3.8681,3.4759
3.9,3.5393,3.5911
4,3.4311,3.6169
4.1,3.2199,3.6507
4.2,3.0178,3.6616
4.3,2.8255,3.6542
4.4,2.6453,3.6329
4.5,2.4797,3.6012
4.6,2.3245,3.5599
4.7,2.1819,3.5129
4.8,2.0487,3.4608
4.9,1.9278,3.4054
5,1.8144,3.3455
5.1,1.7122,3.2881
5.2,1.6162,3.2268
5.3,1.5279,3.1645
5.4,1.4453,3.1031
5.5,1.3725,3.042
5.6,1.3031,2.9813
5.7,1.2386,2.9145
5.8,1.1769,2.8592
5.9,1.115901,2.833001
6,1.053503,2.813504
