photon energy (eV),n,k
1.5,3.847605,0.002194
1.525,3.848382,0.002486
1.55,3.848331,0.002409
1.575,3.848262,0.00238
1.6,3.848255,0.002355
1.625,3.848201,0.002299
1.65,3.848171,0.002273
1.675,3.848141,0.002261
1.7,3.848102,0.002251
1.725,3.84808,0.002224
1.75,3.845045,0.00249
1.775,3.884259,0.007181
1.8,3.896821,0.006764
1.825,3.911114,0.006828
1.85,3.924767,0.008908
1.875,3.937262,0.009008
1.9,3.951746,0.010848
1.925,3.966032,0.011947
1.95,3.983253,0.010058
1.975,3.997418,0.012346
2,4.01389,0.011976
2.025,4.031159,0.012148
2.05,4.04826,0.012966
2.075,4.065031,0.015744
2.1,4.084179,0.015599
2.125,4.10254,0.016939
2.15,4.122142,0.019788
2.175,4.143227,0.019551
2.2,4.165006,0.021449
2.225,4.188852,0.021034
2.25,4.206611,0.028565
2.275,4.233161,0.029767
2.3,4.259836,0.03202
2.325,4.284698,0.036415
2.35,4.31316,0.041517
2.375,4.342077,0.042364
2.4,4.370304,0.046799
2.425,4.398582,0.055
2.45,4.429909,0.060613
2.475,4.465505,0.06744
2.5,4.498046,0.071572
2.525,4.534682,0.072017
2.55,4.568712,0.086414
2.575,4.608275,0.092813
2.6,4.648072,0.102649
2.625,4.691636,0.103904
2.65,4.73612,0.112743
2.675,4.782219,0.131818
2.7,4.828568,0.138949
2.725,4.882334,0.148343
2.75,4.934524,0.167205
2.775,4.987193,0.192126
2.8,5.04706,0.20759
2.825,5.106238,0.224449
2.85,5.176516,0.239447
2.875,5.244815,0.26892
2.9,5.316598,0.301422
2.925,5.394794,0.335674
2.95,5.477155,0.365418
2.975,5.563869,0.416727
3,5.659711,0.468251
3.025,5.761425,0.535494
3.05,5.855175,0.625629
3.075,5.96975,0.696807
3.1,6.066833,0.815282
3.125,6.18288,0.964699
3.15,6.291745,1.112215
3.175,6.34479,1.318271
3.2,6.399361,1.534933
3.225,6.398189,1.758992
3.25,6.345034,1.969316
3.275,6.256976,2.156522
3.3,6.13467,2.317674
3.325,6.019363,2.443515
3.35,5.900389,2.52646
3.375,5.781585,2.601702
3.4,5.704535,2.644206
3.425,5.606078,2.67946
3.45,5.543048,2.70438
3.475,5.49881,2.723498
3.5,5.445018,2.758831
3.525,5.408631,2.786724
3.55,5.363574,2.817211
3.575,5.329904,2.857478
3.6,5.309814,2.878796
3.625,5.277196,2.919932
3.65,5.271526,2.962142
3.675,5.239305,2.997528
3.7,5.225985,3.052273
3.725,5.21093,3.092458
3.75,5.190698,3.145746
3.775,5.188941,3.188914
3.8,5.168275,3.253134
3.825,5.162112,3.318872
3.85,5.147699,3.367733
3.875,5.135317,3.448887
3.9,5.132578,3.527104
3.925,5.117807,3.616134
3.95,5.109086,3.708724
3.975,5.084729,3.791027
4,5.0601,3.912091
4.025,5.025384,4.042538
4.05,4.979977,4.174896
4.075,4.912576,4.323852
4.1,4.825912,4.475648
4.125,4.700209,4.630405
4.15,4.534747,4.753764
4.175,4.361639,4.869531
4.2,4.18727,4.968072
4.225,3.960128,5.000477
4.25,3.773685,5.026169
4.275,3.569601,5.024024
4.3,3.408117,4.987001
4.325,3.241349,4.954451
4.35,3.098602,4.895652
4.375,2.963391,4.857911
4.4,2.851979,4.793363
4.425,2.756436,4.737318
4.45,2.647334,4.662513
4.475,2.53005,4.575908
4.5,2.450341,4.514657
4.525,2.371265,4.443808
4.55,2.306112,4.366913
4.575,2.251063,4.307111
4.6,2.18604,4.250998
4.625,2.14705,4.173408
4.65,2.112966,4.089018
4.675,2.067502,4.051861
4.7,2.048756,3.997445
