photon energy (eV),n,k
1.5,3.764148,0.03028
1.525,3.764148,0.03028
1.55,3.764148,0.03028
1.575,3.764148,0.03028
1.6,3.764148,0.03028
1.625,3.764148,0.03028
1.65,3.764148,0.03028
1.675,3.789786,0.002616
1.7,3.802938,0.008019
1.725,3.814156,0.003256
1.75,3.824146,0.00334
1.775,3.837893,0.002521
1.8,3.848567,0.003142
1.825,3.860802,0.002068
1.85,3.873181,0.00444
1.875,3.886067,0.002677
1.9,3.898868,0.004038
1.925,3.913899,0.0038
1.95,3.92824,0.002559
1.975,3.942442,0.003349
2,3.957457,0.003857
2.025,3.974236,0.003112
2.05,3.989104,0.005068
2.075,4.006584,0.004442
2.1,4.022867,0.005825
2.125,4.041008,0.004256
2.15,4.059626,0.007378
2.175,4.07912,0.008318
2.2,4.097934,0.01208
2.225,4.117903,0.009841
2.25,4.138915,0.009878
2.275,4.160955,0.013056
2.3,4.184705,0.012461
2.325,4.208926,0.012613
2.35,4.231502,0.014803
2.375,4.25722,0.017613
2.4,4.284892,0.022318
2.425,4.311601,0.024561
2.45,4.342906,0.02768
2.475,4.37449,0.031247
2.5,4.404552,0.035834
2.525,4.437098,0.040393
2.55,4.472838,0.04039
2.575,4.509508,0.043216
2.6,4.546897,0.051623
2.625,4.584075,0.060618
2.65,4.625841,0.06844
2.675,4.668601,0.072529
2.7,4.713495,0.081912
2.725,4.761711,0.088622
2.75,4.809896,0.100495
2.775,4.860686,0.10993
2.8,4.916267,0.123013
2.825,4.970322,0.137257
2.85,5.036036,0.140698
2.875,5.095994,0.166216
2.9,5.162072,0.18667
2.925,5.238416,0.208878
2.95,5.313505,0.225587
2.975,5.396199,0.25604
3,5.478597,0.292099
3.025,5.578559,0.328052
3.05,5.677244,0.383853
3.075,5.78306,0.433259
3.1,5.900997,0.50208
3.125,6.0285,0.606159
3.15,6.163254,0.694041
3.175,6.31357,0.827025
3.2,6.431868,1.017285
3.225,6.552725,1.237607
3.25,6.648595,1.476165
3.275,6.667942,1.792377
3.3,6.593308,2.084849
3.325,6.463738,2.339046
3.35,6.287513,2.523155
3.375,6.127709,2.643868
3.4,5.956722,2.715342
3.425,5.811409,2.758868
3.45,5.697945,2.783866
3.475,5.606987,2.798972
3.5,5.526289,2.821167
3.525,5.471464,2.832486
3.55,5.428277,2.852162
3.575,5.373414,2.873847
3.6,5.35727,2.891822
3.625,5.312974,2.926932
3.65,5.286967,2.960508
3.675,5.261364,2.995631
3.7,5.237346,3.024057
3.725,5.227606,3.072206
3.75,5.199804,3.105594
3.775,5.190616,3.14487
3.8,5.189884,3.202403
3.825,5.162949,3.261456
3.85,5.166227,3.306692
3.875,5.141718,3.369381
3.9,5.132783,3.443665
3.925,5.15038,3.498318
3.95,5.13675,3.590355
3.975,5.129812,3.675371
4,5.116449,3.773301
4.025,5.09701,3.876163
4.05,5.094711,4.012712
4.075,5.057609,4.148374
4.1,5.008336,4.290083
4.125,4.925663,4.45666
4.15,4.833962,4.623308
4.175,4.692082,4.80546
4.2,4.537716,4.95187
4.225,4.31961,5.085829
4.25,4.09042,5.180622
4.275,3.855751,5.197667
4.3,3.640163,5.191291
4.325,3.427428,5.162262
4.35,3.251104,5.125768
4.375,3.092164,5.078523
4.4,2.925997,5.030657
4.425,2.783515,4.939246
4.45,2.664435,4.864435
4.475,2.553446,4.81432
4.5,2.441937,4.709465
4.525,2.359615,4.632919
4.55,2.257198,4.542156
4.575,2.202089,4.463373
4.6,2.133074,4.379676
4.625,2.085508,4.302265
4.65,2.035974,4.220462
4.675,2.001055,4.148713
4.7,1.964633,4.088515
