photon energy (eV),n,k
1.5,3.773358,6.6e-005
1.525,3.774298,7.2e-005
1.55,3.776459,0.000702
1.575,3.776558,0.000249
1.6,3.778607,0.000662
1.625,3.761095,0.000525
1.65,3.771095,0.005252
1.675,3.781964,0.000693
1.7,3.794255,0.006125
1.725,3.805413,0.003809
1.75,3.815001,0.003735
1.775,3.831149,0.000863
1.8,3.835645,0.001359
1.825,3.835645,0.001359
1.85,3.835645,0.001359
1.875,3.835645,0.001359
1.9,3.835645,0.001359
1.925,3.902855,0.002742
1.95,3.914593,0.001247
1.975,3.931678,0.003031
2,3.946202,0.002773
2.025,3.962387,0.003316
2.05,3.977394,0.003869
2.075,3.994336,0.00314
2.1,4.010207,0.003782
2.125,4.028184,0.004533
2.15,4.046302,0.004542
2.175,4.066669,0.003865
2.2,4.085626,0.004834
2.225,4.105791,0.00698
2.25,4.126337,0.006726
2.275,4.146674,0.00817
2.3,4.169736,0.011167
2.325,4.193024,0.010974
2.35,4.216105,0.011192
2.375,4.240192,0.014521
2.4,4.268181,0.017132
2.425,4.294879,0.018166
2.45,4.32319,0.023489
2.475,4.356393,0.02537
2.5,4.384542,0.031864
2.525,4.41856,0.034883
2.55,4.452038,0.037604
2.575,4.487375,0.041252
2.6,4.524445,0.04503
2.625,4.562594,0.05195
2.65,4.603377,0.059405
2.675,4.647397,0.065264
2.7,4.688217,0.071018
2.725,4.73397,0.080823
2.75,4.78402,0.086112
2.775,4.834013,0.09762
2.8,4.883518,0.112265
2.825,4.940176,0.123063
2.85,5.002641,0.132158
2.875,5.062829,0.146832
2.9,5.134194,0.15471
2.925,5.201828,0.177529
2.95,5.275463,0.205054
2.975,5.356314,0.230108
3,5.439085,0.2603
3.025,5.536076,0.292819
3.05,5.631032,0.328934
3.075,5.743371,0.37642
3.1,5.85892,0.444738
3.125,5.996691,0.507783
3.15,6.132038,0.602834
3.175,6.265268,0.743298
3.2,6.414899,0.886208
3.225,6.561456,1.077804
3.25,6.670803,1.329489
3.275,6.750588,1.638895
3.3,6.741304,1.952325
3.325,6.640641,2.258819
3.35,6.450919,2.493121
3.375,6.252307,2.664221
3.4,6.054658,2.769931
3.425,5.885662,2.806031
3.45,5.750516,2.839658
3.475,5.647968,2.832871
3.5,5.562523,2.846985
3.525,5.487749,2.854143
3.55,5.437267,2.868157
3.575,5.388748,2.893462
3.6,5.361236,2.904071
3.625,5.324873,2.95048
3.65,5.297535,2.969104
3.675,5.270275,3.00498
3.7,5.255322,3.034916
3.725,5.245614,3.081335
3.75,5.21805,3.12403
3.775,5.197875,3.15573
3.8,5.184484,3.203842
3.825,5.173904,3.257243
3.85,5.169727,3.301841
3.875,5.153174,3.354217
3.9,5.137856,3.429048
3.925,5.146047,3.489433
3.95,5.138973,3.571534
3.975,5.141459,3.661884
4,5.126512,3.752176
4.025,5.132556,3.852121
4.05,5.105958,3.979329
4.075,5.081816,4.108375
4.1,5.04236,4.261109
4.125,4.98152,4.407101
4.15,4.918586,4.593632
4.175,4.790433,4.777781
4.2,4.625227,4.937463
4.225,4.418705,5.092231
4.25,4.189491,5.205087
4.275,3.938915,5.255683
4.3,3.711645,5.282105
4.325,3.498813,5.239309
4.35,3.316127,5.193245
4.375,3.152175,5.151444
4.4,2.977485,5.103328
4.425,2.822122,5.009149
4.45,2.672493,4.967399
4.475,2.545701,4.872436
4.5,2.462701,4.785917
4.525,2.354658,4.694443
4.55,2.262313,4.615012
4.575,2.186224,4.523975
4.6,2.129789,4.442537
4.625,2.075653,4.35853
4.65,2.024199,4.27268
4.675,1.987007,4.195132
4.7,1.948259,4.128633
