photon energy (eV),n,k
1.5,3.77,0.0001
1.525,3.770247,0.000319
1.55,3.772684,0.000638
1.575,3.772439,0.000739
1.6,3.772439,0.000739
1.625,3.773052,0.001227
1.65,3.773052,0.001227
1.675,3.773052,0.001227
1.7,3.773052,0.001227
1.725,3.773052,0.001227
1.75,3.834613,0.002386
1.775,3.834613,0.002386
1.8,3.858779,0.003513
1.825,3.872095,0.003064
1.85,3.886229,0.004982
1.875,3.89836,0.00499
1.9,3.911595,0.004197
1.925,3.927469,0.003763
1.95,3.941007,0.004324
1.975,3.955901,0.004697
2,3.971489,0.004516
2.025,3.987411,0.005989
2.05,4.004124,0.006387
2.075,4.020545,0.00704
2.1,4.037873,0.006574
2.125,4.05651,0.008139
2.15,4.076778,0.007523
2.175,4.093975,0.01105
2.2,4.115092,0.009947
2.225,4.136108,0.011591
2.25,4.157063,0.014244
2.275,4.179747,0.013304
2.3,4.202868,0.014131
2.325,4.226155,0.018656
2.35,4.252653,0.020529
2.375,4.277563,0.024454
2.4,4.306707,0.027377
2.425,4.335019,0.031578
2.45,4.365512,0.034698
2.475,4.395685,0.040137
2.5,4.429842,0.039988
2.525,4.461727,0.046816
2.55,4.49728,0.050183
2.575,4.535326,0.056233
2.6,4.569289,0.067938
2.625,4.614326,0.066132
2.65,4.655319,0.078021
2.675,4.698856,0.085631
2.7,4.742886,0.094395
2.725,4.792624,0.0976
2.75,4.839213,0.11618
2.775,4.890704,0.130003
2.8,4.949852,0.131904
2.825,5.008482,0.152443
2.85,5.067517,0.165554
2.875,5.131618,0.184062
2.9,5.202889,0.203361
2.925,5.276121,0.233851
2.95,5.354505,0.251198
2.975,5.436625,0.295302
3,5.528668,0.319986
3.025,5.621991,0.376061
3.05,5.727877,0.421169
3.075,5.833405,0.482809
3.1,5.956625,0.567588
3.125,6.083132,0.664348
3.15,6.203925,0.794649
3.175,6.346947,0.935887
3.2,6.471963,1.12512
3.225,6.556459,1.359613
3.25,6.599599,1.63599
3.275,6.589797,1.920965
3.3,6.507142,2.175866
3.325,6.362339,2.387606
3.35,6.181973,2.53296
3.375,6.029889,2.636867
3.4,5.872885,2.703446
3.425,5.755007,2.739793
3.45,5.653172,2.770964
3.475,5.581622,2.779582
3.5,5.507315,2.787667
3.525,5.453707,2.829154
3.55,5.409933,2.84308
3.575,5.370038,2.866549
3.6,5.355048,2.900433
3.625,5.31262,2.923177
3.65,5.284417,2.953945
3.675,5.254567,2.991572
3.7,5.241434,3.04541
3.725,5.217885,3.074295
3.75,5.209255,3.116486
3.775,5.190182,3.166966
3.8,5.189358,3.204215
3.825,5.192792,3.26756
3.85,5.154732,3.314489
3.875,5.1482,3.379559
3.9,5.142435,3.449596
3.925,5.140065,3.539963
3.95,5.127591,3.618729
3.975,5.128918,3.706679
4,5.104366,3.800555
4.025,5.102758,3.917685
4.05,5.055862,4.047474
4.075,5.027258,4.195084
4.1,4.971161,4.35037
4.125,4.888423,4.511779
4.15,4.77889,4.686819
4.175,4.638037,4.829962
4.2,4.449195,4.974108
4.225,4.223371,5.078628
4.25,3.98919,5.150223
4.275,3.779313,5.153147
4.3,3.575446,5.145821
4.325,3.392293,5.126213
4.35,3.196787,5.074262
4.375,3.057307,5.018447
4.4,2.922872,4.981102
4.425,2.772307,4.894349
4.45,2.658931,4.834949
4.475,2.547353,4.750322
4.5,2.440685,4.674782
4.525,2.366199,4.58376
4.55,2.28209,4.500612
4.575,2.222469,4.418359
4.6,2.160857,4.349344
4.625,2.10498,4.275105
4.65,2.063948,4.197791
4.675,2.032773,4.132113
4.7,1.995703,4.062401
